Age,Gender,Country,JobRole,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,CareerGrowthScore,BurnoutRisk,SurveyDescription
47,Male,UK,Software Engineer,4,40,Hybrid,8.01,2.11,7.37,4.83,7.1,5.5,10,No,8.76,No,8,100K+,9.48,7.93,1,"As a software engineer, my overall wellbeing in the company feels strained due to the exceptionally high stress levels I experience every day, making it challenging to maintain my job satisfaction. With an extremely high burnout risk and limited mental health resources, I find myself struggling to achieve a balance between my work and personal life. Despite my manager's excellent support, the lack of access to therapy and mental health support makes it difficult for me to cope with my 8 mental health days off."
32,Female,India,Software Engineer,10,35,No,8.36,4.66,2.13,4.99,8.9,3.8,51,No,5.97,Yes,7,60K-80K,5.92,7.12,1,"As a 32-year-old female software engineer in India, I struggle to balance my work and personal life, often feeling overwhelmed by a burnout level of 8.36 and an 8.5-hour daily sleep, which seems to be barely sufficient. The lack of support from management and the absence of mental health support at work add to my stress, resulting in limited productivity despite having a good salary and career growth opportunities. With barely any mental health days off, I often find myself pushing through burnout, but wish I had access to therapy and better stress management systems to mitigate this high stress level of 2.13."
38,Male,USA,Software Engineer,4,53,Yes,3.86,5.4,6.27,2.27,5.4,7.6,8,Yes,4.25,No,8,<40K,5.64,7.31,0,"As a software engineer who works long hours in a remote setup, I often find myself struggling with high stress levels and burnout, which significantly compromise my work-life balance and overall wellbeing. Despite having mental health support from my employer and a supportive manager, I still struggle with inadequate sleep and find that my job satisfaction is somewhat affected by my stressful work environment. My physical activity and commute time help mitigate some of this stress, but my limited salary range and limited access to therapy leave me feeling uncertain about my career growth prospects."
57,Prefer not to say,India,Software Engineer,2,54,Hybrid,4.73,4.94,8.75,1.19,5.6,8,64,No,4.87,Yes,9,<40K,3.52,3.94,0,"As a software engineer working 54 hours a week in a hybrid remote setting, I often feel overwhelmed and exhausted, experiencing a severe burnout level that affects my daily life. With a salary below 40K and a long commute time, I struggle to maintain a balance between my work and personal life, impacting my overall wellbeing. Despite having access to mental health support and a decent manager support score, I often take mental health days off due to the immense stress and burnout risk I face in my role."
24,Prefer not to say,Canada,Software Engineer,14,31,Hybrid,6.75,8.1,5.25,8.11,6.6,6.6,9,No,2.13,Yes,4,40K-60K,6.59,2.32,0,"As a software engineer in Canada, I often feel burnt out from the demanding workload and long hours, averaging over 31 hours a week, which seems unsustainable and contributes to my high stress levels. Despite having access to therapy, I struggle with getting adequate rest with less than 7 hours of sleep per night, and a lack of support from my manager doesn't help alleviate feelings of isolation. The physical and mental demands of my job, combined with the pressure to perform, have started to take a toll on my overall wellbeing."
28,Prefer not to say,UK,Software Engineer,0,51,No,8.82,9.24,1.13,3.77,8.3,8.9,84,Yes,5.24,Yes,7,80K-100K,5.12,3.5,1,"As a software engineer, I feel overworked and exhausted due to the high stress levels and burnout risk, which seems to be directly impacting my overall wellbeing. The long commutes and demanding work schedule of 51 hours a week have severely disrupted my work-life balance, making it difficult to maintain a healthy routine. Despite having access to mental health support and therapy, I've still managed to take off 7 mental health days, a clear indication that my wellbeing is suffering due to work-related pressures."
23,Female,Brazil,Software Engineer,4,31,No,3.1,1.23,3.18,4.09,8.5,9.3,22,No,4.43,Yes,1,40K-60K,8.97,5.61,0,"As a 23-year-old female software engineer in Brazil, I often feel overwhelmed by the long hours I work each week, with 31 hours being a significant burden on my wellbeing. Despite having a high manager support score and access to therapy, the stress and burnout levels are concerning, with 3.18 and 3.1 respectively, and the lack of mental health support from the company is a notable absence. A decent balance between work and life is maintained, but I worry that my job satisfaction level of 1.23 and productivity score of 4.09 may not be enough to compensate for the pressures of my job."
55,Female,India,Software Engineer,12,45,Hybrid,4.55,4.44,7.19,1.59,4.6,9.9,69,Yes,6.91,Yes,0,80K-100K,1.92,3.64,0,"As a 55-year-old female software engineer in India, the high stress levels in my job have taken a toll on my overall wellbeing, making it challenging to maintain a healthy work-life balance. The long commute time of 69 minutes and demanding work hours of 45 per week add to my fatigue and exhaustion. Despite having access to mental health support and therapy, the constant stress and pressure to perform leave me feeling burnt out, but grateful for the supportive manager and hybrid work setup."
43,Female,Australia,Software Engineer,15,33,No,4.13,7.54,6.98,4.27,4.6,1.9,12,Yes,6.58,Yes,3,60K-80K,7.45,1.72,0,"As a software engineer in Australia, I've been feeling quite overwhelmed at work, with high stress levels and burnout having taken a toll on my daily life. Despite my 15 years of dedication to the company, I often struggle to maintain a decent work-life balance, partly due to the lengthy commute and demanding work hours of 33 per week. Overall, I'm left feeling drained, both physically and mentally, and while I appreciate the supports in place for my mental health, it's clear that I need more help to get back on track."
55,Non-binary,UK,Software Engineer,3,43,Hybrid,5.36,5.06,5.31,2.05,4.9,8,58,No,4.51,Yes,7,60K-80K,3.35,7.88,0,"As a 55-year-old software engineer working 43 hours a week, I often feel overwhelmed by high stress levels and a moderate burnout risk, which negatively affects my overall wellbeing. Despite having access to therapy and a supportive manager, my limited work-life balance and long commute time exacerbate my situation, leading to poor sleep quality and reduced physical activity. Feeling undervalued is not the case, as I have a strong career growth opportunity, but dealing with a high burnout level is weighing heavily on my mental wellbeing."
49,Male,UK,Software Engineer,12,53,No,2.9,7.74,5.41,6.15,6.4,4.8,61,No,3.87,Yes,0,60K-80K,5.6,8.23,0,"As a 49-year-old male software engineer in the UK, I often feel unwell due to high stress levels that seem to consume my life, making my 53-hour workweeks seem unbearable. Despite having a good salary and opportunities for career growth, I struggle to maintain a healthy work-life balance, often sacrificing sleep for work that seems endless."
50,Female,India,Software Engineer,15,33,No,6.35,8.68,8.54,6.35,7.8,6.3,17,Yes,8.71,No,4,60K-80K,2.8,1.06,0,"As a 50-year-old female software engineer in India, I often feel overwhelmed by the high stress levels and excessive workload, leading to burnout despite my relatively good job satisfaction and positive manager support. The long commute time of 17 hours per week further exacerbates my fatigue, affecting my physical and mental wellbeing. Struggling to maintain a balance between work and personal life, I often sacrifice sleep to meet deadlines, leaving me feeling exhausted and with limited time for physical activity or therapy."
